Description,Price,Rating,Review,Size,Discount,Price Before Discount
acer Dual Core A3020e - (4 GB/256 GB SSD/Windows 10 Hom...,"₹24,990",4.4,(101),"15.6 inch, Black, 1.9 kg",24% off,"₹32,999"
acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windo...,"₹49,990",4.5,"(3,547)","15.6 inch, Black, 2.15 Kg",44% off,"₹89,999"
HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home)...,"₹40,000",4.2,(249),"14 inch, Jet Black, 1.46 kg, With MS Office",11% off,"₹45,376"
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,41,990",4.2,(22),"15.6 inches, Moonlight White, 1.90 kg, With MS Office",25% off,"₹1,89,990"
HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/...,"₹59,990",4.5,"(1,324)","15.6 inch, Shadow Black, 1.98 kg",14% off,"₹70,172"
ASUS Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Hom...,"₹44,990",4.4,(54),"14 inch, Transparent Silver, 1.4 KG, With MS Office",21% off,"₹56,990"
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"₹57,990",4.5,"(1,260)","15.6 Inch, Black Plastic, 2.3 KG, With MS Office",35% off,"₹89,990"
Lenovo Thinkbook Convertible Core i7 11th Gen - (16 GB/...,"₹1,07,990",No rating available,No review available,"14 inch, Mineral Grey, 1.5 kg, With MS Office",1% off,"₹1,09,696"
"Lenovo IdeaPad 3 Core i3 10th Gen - (4 GB/256 GB, NA SS...","₹33,990",4.4,(254),"15.6 inch, Platinum Grey, 1.7 kg, With MS Office",33% off,"₹50,990"
acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB ...,"₹49,990",4.2,(139),"15.6 inch, Pure Silver, 1.65 kg",9% off,"₹54,999"
ASUS Core i3 10th Gen - (4 GB + 32 GB Optane/512 GB SSD...,"₹35,990",4.4,(773),"15.6 inch, Transparent Silver, 1.80 Kg, With MS Office",26% off,"₹48,990"
Lenovo Thinkbook Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹47,990",4.6,(7),"15 inch, Mineral Grey, 1.7 kg",34% off,"₹72,850"
ASUS VivoBook 15 Core i3 7th Gen - (4 GB/1 TB HDD/Windo...,"₹29,990",4,"(7,376)","15.6 inch, Transparent Silver, 1.9 kg",23% off,"₹38,990"
